gene	unique	total
ENSMUSG00000102693	971	971
ENSMUSG00000064842	11	11
ENSMUSG00000051951	6094	6094
ENSMUSG00000102851	381	381
ENSMUSG00000103377	2720	2720
ENSMUSG00000104017	2134	2134
ENSMUSG00000103025	2210	2210
ENSMUSG00000089699	151	151
ENSMUSG00000103201	1958	1958
ENSMUSG00000103147	827	827
ENSMUSG00000103161	2905	2913
ENSMUSG00000102331	3160	3160
ENSMUSG00000102348	1535	1535
ENSMUSG00000102592	2252	2252
ENSMUSG00000088333	0	0
ENSMUSG00000102343	1263	1263
ENSMUSG00000025900	12298	12298
ENSMUSG00000102948	1768	1768
ENSMUSG00000104123	1385	1385
ENSMUSG00000025902	5283	5283
ENSMUSG00000104238	2916	2916
ENSMUSG00000102269	2892	2892
ENSMUSG00000096126	8	8
ENSMUSG00000103003	351	351
ENSMUSG00000104328	2674	2674
ENSMUSG00000102735	837	837
ENSMUSG00000098104	1366	1371
ENSMUSG00000102175	1107	1107
ENSMUSG00000088000	4	4
ENSMUSG00000103265	532	532
ENSMUSG00000103922	821	970
ENSMUSG00000033845	8862	8862
ENSMUSG00000102275	1051	1051
ENSMUSG00000025903	6962	7403
ENSMUSG00000104217	182	726
ENSMUSG00000033813	2339	2917
ENSMUSG00000062588	254	504
ENSMUSG00000103280	1012	1012
ENSMUSG00000002459	4302	4302
ENSMUSG00000091305	173	173
ENSMUSG00000102653	2036	2036
ENSMUSG00000085623	3626	3626
ENSMUSG00000091665	1489	1489
ENSMUSG00000033793	10130	10130
ENSMUSG00000104352	633	633
ENSMUSG00000104046	2099	2128
ENSMUSG00000102907	1933	1933
ENSMUSG00000025905	9244	9244
ENSMUSG00000103936	295	295
ENSMUSG00000093015	0	2
ENSMUSG00000103519	1700	1700
ENSMUSG00000033774	3593	3593
ENSMUSG00000103090	984	984
ENSMUSG00000025907	14982	15081
ENSMUSG00000090031	5383	5383
ENSMUSG00000087247	872	872
ENSMUSG00000103355	483	540
ENSMUSG00000102706	374	374
ENSMUSG00000103845	4237	4431
ENSMUSG00000033740	7077	7077
ENSMUSG00000103329	2816	2816
ENSMUSG00000104385	564	564
ENSMUSG00000102135	476	527
ENSMUSG00000103282	0	0
ENSMUSG00000102534	226	226
ENSMUSG00000102213	60	60
ENSMUSG00000103629	542	542
ENSMUSG00000051285	6897	6897
ENSMUSG00000098201	289	289
ENSMUSG00000103509	3929	3929
ENSMUSG00000048538	535	1200
ENSMUSG00000103709	79	79
ENSMUSG00000077244	31	31
ENSMUSG00000102768	913	913
ENSMUSG00000097797	4357	4357
ENSMUSG00000103498	1025	1025
ENSMUSG00000103067	2497	2497
ENSMUSG00000102320	187	187
ENSMUSG00000104226	1996	1996
ENSMUSG00000103903	782	782
ENSMUSG00000103557	1115	1115
ENSMUSG00000025909	11385	11385
ENSMUSG00000102647	2433	2433
ENSMUSG00000086235	220	301
ENSMUSG00000102253	3435	3435
ENSMUSG00000093970	11	11
ENSMUSG00000103884	1065	1065
ENSMUSG00000084353	0	141
ENSMUSG00000103933	99	99
ENSMUSG00000076135	11	11
ENSMUSG00000086195	219	241
ENSMUSG00000104504	219	241
ENSMUSG00000066693	271	527
ENSMUSG00000102316	951	951
ENSMUSG00000103819	419	419
ENSMUSG00000102871	3160	3160
ENSMUSG00000101571	861	861
ENSMUSG00000104428	537	537
ENSMUSG00000102272	1071	1071
ENSMUSG00000065625	4	4
ENSMUSG00000103411	1307	1307
ENSMUSG00000061024	1949	1949
ENSMUSG00000025911	3955	3955
ENSMUSG00000079671	5001	5001
ENSMUSG00000081441	81	1003
ENSMUSG00000067879	3157	3157
ENSMUSG00000099827	968	968
ENSMUSG00000025912	5388	5388
ENSMUSG00000045210	9650	9650
ENSMUSG00000097893	3077	3172
ENSMUSG00000025915	14689	14689
ENSMUSG00000046334	205	258
ENSMUSG00000088916	6	6
ENSMUSG00000046101	6228	6228
ENSMUSG00000098234	1239	1239
ENSMUSG00000093178	0	0
ENSMUSG00000099032	4094	4094
ENSMUSG00000104025	1275	1275
ENSMUSG00000025916	1872	1872
ENSMUSG00000087199	557	557
ENSMUSG00000095780	5	5
ENSMUSG00000025917	3962	3962
ENSMUSG00000056763	18220	18220
ENSMUSG00000102356	821	821
ENSMUSG00000067851	11403	11403
ENSMUSG00000088153	141	141
ENSMUSG00000102556	1623	1623
ENSMUSG00000042501	6810	6834
ENSMUSG00000103810	2646	2646
ENSMUSG00000083422	1357	1357
ENSMUSG00000094979	8	8
ENSMUSG00000081417	393	393
ENSMUSG00000103448	1823	1823
ENSMUSG00000100212	615	1143
ENSMUSG00000100648	660	660
ENSMUSG00000088585	0	0
ENSMUSG00000048960	16483	16495
ENSMUSG00000077318	29	29
ENSMUSG00000101827	510	510
ENSMUSG00000103494	2940	2940
ENSMUSG00000057715	9567	9567
ENSMUSG00000103825	2372	2372
ENSMUSG00000099845	163	163
ENSMUSG00000103561	2045	2045
ENSMUSG00000101610	774	774
ENSMUSG00000093864	8	8
ENSMUSG00000098555	22	22
ENSMUSG00000097628	639	708
ENSMUSG00000098163	588	588
ENSMUSG00000097171	2645	3101
ENSMUSG00000101314	754	754
ENSMUSG00000016918	11375	11375
ENSMUSG00000025938	13487	13487
ENSMUSG00000104518	452	452
ENSMUSG00000069620	222	222
ENSMUSG00000099498	189	189
ENSMUSG00000042414	2465	2465
ENSMUSG00000005886	15717	15717
ENSMUSG00000103506	2154	2154
ENSMUSG00000103495	1527	1527
ENSMUSG00000099183	0	0
ENSMUSG00000102639	596	596
ENSMUSG00000104170	1773	1773
ENSMUSG00000087782	13	13
ENSMUSG00000103085	4532	4543
ENSMUSG00000102664	2149	2149
ENSMUSG00000101476	582	582
ENSMUSG00000101171	545	545
ENSMUSG00000025935	3159	3159
ENSMUSG00000025937	4464	4464
ENSMUSG00000102982	1161	1167
ENSMUSG00000067813	1827	1827
ENSMUSG00000077368	32	32
ENSMUSG00000097711	864	898
ENSMUSG00000102166	2150	2150
ENSMUSG00000089358	209	209
ENSMUSG00000104209	3506	3506
ENSMUSG00000025932	8292	8292
ENSMUSG00000095853	0	1
ENSMUSG00000102588	340	340
ENSMUSG00000054493	3409	3409
ENSMUSG00000025930	2579	2579
ENSMUSG00000103492	4222	4222
ENSMUSG00000081201	18	189
ENSMUSG00000082193	423	795
ENSMUSG00000032769	4164	4164
ENSMUSG00000088159	21	21
ENSMUSG00000073737	304	897
ENSMUSG00000092083	15066	15066
ENSMUSG00000102937	1434	1434
ENSMUSG00000104149	1990	1990
ENSMUSG00000088829	13	13
ENSMUSG00000077377	33	33
ENSMUSG00000101652	152	152
ENSMUSG00000100814	1	1
ENSMUSG00000025925	4702	4702
ENSMUSG00000104379	3070	3070
ENSMUSG00000032719	2649	2649
ENSMUSG00000088943	204	204
ENSMUSG00000100652	454	454
ENSMUSG00000067795	2060	2060
ENSMUSG00000043716	2645	2932
ENSMUSG00000025921	4057	4057
ENSMUSG00000104165	2222	2222
ENSMUSG00000100868	1416	1416
ENSMUSG00000025920	7210	7210
ENSMUSG00000089982	984	984
ENSMUSG00000025939	5018	5018
ENSMUSG00000102457	2881	2881
ENSMUSG00000079658	3253	3253
ENSMUSG00000097744	2689	2689
ENSMUSG00000100959	584	584
ENSMUSG00000025940	1913	1913
ENSMUSG00000025779	1020	1020
ENSMUSG00000100093	320	320
ENSMUSG00000091020	1724	1761
ENSMUSG00000101640	77	77
ENSMUSG00000104133	728	728
ENSMUSG00000042686	4898	4898
ENSMUSG00000100110	260	260
ENSMUSG00000025777	8019	8019
ENSMUSG00000099899	912	912
ENSMUSG00000100272	280	280
ENSMUSG00000100398	373	373
ENSMUSG00000101589	2746	2771
ENSMUSG00000102048	387	387
ENSMUSG00000089534	12	12
ENSMUSG00000067780	6824	6824
ENSMUSG00000100053	4119	4119
ENSMUSG00000085125	8342	8342
ENSMUSG00000025776	4539	4539
ENSMUSG00000099895	530	530
ENSMUSG00000100554	1300	1300
ENSMUSG00000099473	333	487
ENSMUSG00000099591	2458	2458
ENSMUSG00000109887	2297	2469
ENSMUSG00000102001	100	100
ENSMUSG00000101717	43	43
ENSMUSG00000025774	2795	2795
ENSMUSG00000070977	120	120
ENSMUSG00000073735	159	159
ENSMUSG00000067773	467	467
ENSMUSG00000101685	886	886
ENSMUSG00000101306	810	810
ENSMUSG00000088800	0	0
ENSMUSG00000101644	13	13
ENSMUSG00000099433	180	180
ENSMUSG00000089787	819	819
ENSMUSG00000042596	1854	1854
ENSMUSG00000100720	175	446
ENSMUSG00000025927	6331	6331
ENSMUSG00000100538	103	103
ENSMUSG00000101117	373	373
ENSMUSG00000100204	2123	2147
ENSMUSG00000084668	0	0
ENSMUSG00000102597	2400	2400
ENSMUSG00000043760	14208	14208
ENSMUSG00000104095	3380	3380
ENSMUSG00000089914	689	689
